CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. WREC_SCORE,Count of WREC_SCORE
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.865384615,52
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.771084337,83
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.797872340,94
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.783132530,83
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.545454545,11
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.815789474,38
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.927536232,138
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.910179641,167
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.867088608,158
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.845360825,97
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.839506173,162
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.856287425,167
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.801075269,186
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.8125,48
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.808695652,115
Non-Prog,IL086 BRADLEY BOURBONNAIS HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.944444444,18
Non-Prog,IL086 BRADLEY BOURBONNAIS HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.947368421,19
Non-Prog,IL086 BRADLEY BOURBONNAIS HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.956521739,23
Non-Prog,IL086 BRADLEY BOURBONNAIS HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,1,14
Non-Prog,IL086 BRADLEY BOURBONNAIS HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.9,10
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,July 2017,NL,CE,1,16
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,August 2017,NL,CE,0.75,24
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,September 2017,NL,CE,0.8,10
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,January 2017,NL,CE,0.941176471,34
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,0.982142857,56
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,0.984126984,63
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,0.98,50
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,0.966101695,59
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,0.974358974,78
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,0.980392157,51
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,0.977011494,87
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,0.971830986,71
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,January 2017,NL,CE,0.944444444,18
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,February 2017,NL,CE,0.923076923,26
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,March 2017,NL,CE,0.952380952,21
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,April 2017,NL,CE,0.954545455,22
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,May 2017,NL,CE,0.846153846,13
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,June 2017,NL,CE,0.896551724,29
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,July 2017,NL,CE,1,36
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,August 2017,NL,CE,0.9,30
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,September 2017,NL,CE,1,25
Non-Prog,IN003 BUTLER HYUNDAI,Non-Prog,CE3,January 2017,NL,CE,0.936170213,47
Non-Prog,IN003 BUTLER HYUNDAI,Non-Prog,CE3,February 2017,NL,CE,0.948275862,58
Non-Prog,IN003 BUTLER HYUNDAI,Non-Prog,CE3,March 2017,NL,CE,0.936170213,47
Non-Prog,IN003 BUTLER HYUNDAI,Non-Prog,CE3,April 2017,NL,CE,0.969696970,66
Non-Prog,IN003 BUTLER HYUNDAI,Non-Prog,CE3,May 2017,NL,CE,0.943820225,89
Non-Prog,IN003 BUTLER HYUNDAI,Non-Prog,CE3,June 2017,NL,CE,0.962025316,79
Non-Prog,IN003 BUTLER HYUNDAI,Non-Prog,CE3,July 2017,NL,CE,0.95,20
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,January 2017,NL,CE,0.916666667,36
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,February 2017,NL,CE,1,33
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,March 2017,NL,CE,0.918918919,37
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,April 2017,NL,CE,0.935483871,31
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,May 2017,NL,CE,0.852941176,34
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,June 2017,NL,CE,0.98,50
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,July 2017,NL,CE,0.942857143,35
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,August 2017,NL,CE,0.932203390,59
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,September 2017,NL,CE,0.954545455,44
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,January 2017,NL,CE,0.974358974,39
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,February 2017,NL,CE,0.914285714,35
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,March 2017,NL,CE,1,37
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,April 2017,NL,CE,0.947368421,38
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,May 2017,NL,CE,0.977777778,45
