CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELINESS_RATING_SCORE,Count of TIMELINESS_RATING_SCORE
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.5,4
Non-Prog,WI029 SCAFFIDI HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,2.714285714,7
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.375,8
Non-Prog,WI030 BROADWAY HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,4,5
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,4.5,2
Non-Prog,WI031 KOCOUREK HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,3.25,4
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.363636364,11
Non-Prog,WI032 BERGSTROM HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,3.857142857,7
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,January 2018,NL,CE,3.75,4
Non-Prog,WI034 RACINE HYUNDAI,Non-Prog,CE6,February 2018,NL,CE,3.333333333,12
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,January 2018,NL,CE,3.44,25
Non-Prog,WI036 HYUNDAI WEST ALLIS,Non-Prog,CE6,February 2018,NL,CE,3.75,24
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,January 2018,NL,CE,2.846153846,13
Non-Prog,WI037 HYUNDAI GREENFIELD,Non-Prog,CE6,February 2018,NL,CE,3.157894737,19
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,3.428571429,7
Non-Prog,MN005 ADAMSON HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.444444444,9
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4,2
Non-Prog,MN014 KOLAR HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.666666667,3
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4.058823529,17
Non-Prog,MN016 LUTHER BURNSVILLE HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.8,20
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,3.466666667,15
Non-Prog,MN017 BUERKLE HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.652173913,23
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4,10
Non-Prog,MN020 WALSER HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.9,20
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,3,36
Non-Prog,MN021 LUTHER BLOOMINGTON HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,2.975,40
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,3,6
Non-Prog,MN024 DONDELINGER HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.25,4
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,3.647058824,17
Non-Prog,MN025 MORRIE'S 394 HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.714285714,28
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,January 2018,NL,CE,3.2,5
Non-Prog,MN026 HYUNDAI OF MANKATO,Non-Prog,CE7,February 2018,NL,CE,3,1
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,3.757575758,33
Non-Prog,MN027 INVER GROVE HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.909090909,22
Non-Prog,MN028 ST. CLOUD HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,3.909090909,11
Non-Prog,MN028 ST. CLOUD HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.642857143,14
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4,4
Non-Prog,ND002 DON BESSETTE HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,4.75,4
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,3.1,10
Non-Prog,ND006 GATEWAY HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3,11
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,January 2018,NL,CE,4,3
Non-Prog,ND010 EIDE HYUNDAI,Non-Prog,CE7,February 2018,NL,CE,3.333333333,3
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,January 2018,NL,CE,3.5,2
Non-Prog,ND011 HYUNDAI OF BISMARCK,Non-Prog,CE7,February 2018,NL,CE,4.5,2
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,4,3
Non-Prog,OH022 TOM AHL HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,4.25,4
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,3.461538462,13
Non-Prog,OH027 DENNIS HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3.923076923,13
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,3.76,25
Non-Prog,OH037 RICART HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3.708333333,24
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,3.307692308,26
Non-Prog,OH042 HATFIELD HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3.285714286,14
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,3.5,18
Non-Prog,OH045 VOSS HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3.5,18
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,2.875,8
Non-Prog,OH048 JEFF WYLER HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3,7
Non-Prog,OH050 MATHEWS HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3.25,4
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,January 2018,NL,CE,3.391304348,23
Non-Prog,OH057 DENNIS HYUNDAI OF DUBLIN,Non-Prog,CE8,February 2018,NL,CE,3.357142857,14
Non-Prog,OH062 DON WOOD HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,4.333333333,3
Non-Prog,OH062 DON WOOD HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3.4,5
Non-Prog,OH063 HERRNSTEIN HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,3,1
Non-Prog,OH063 HERRNSTEIN HYUNDAI,Non-Prog,CE8,February 2018,NL,CE,3,7
Non-Prog,OH066 TAYLOR HYUNDAI,Non-Prog,CE8,January 2018,NL,CE,4,13
