DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cproct,Cproct
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,June,NL,CE,2016,,896
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,July,NL,CE,2016,,854
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,August,NL,CE,2016,,900
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,September,NL,CE,2016,,827
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,October,NL,CE,2016,,924
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,November,NL,CE,2016,,822
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,December,NL,CE,2016,,947
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,January,NL,CE,2017,,795
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2017,-6.290956750%,715
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,March,NL,CE,2017,28.957528958%,1002
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,April,NL,CE,2017,16.912751678%,871
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,May,NL,CE,2017,48.537234043%,1117
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,June,NL,CE,2017,10.602678571%,991
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,July,NL,CE,2017,17.798594848%,1006
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,August,NL,CE,2017,18.111111111%,1063
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,September,NL,CE,2017,23.095525998%,1018
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,October,NL,CE,2017,9.523809524%,1012
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,November,NL,CE,2017,16.301703163%,956
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,December,NL,CE,2017,-8.236536431%,869
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,January,NL,CE,2018,5.786163522%,841
IL080 GERALD HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2018,4.475524476%,747
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,February,NL,CE,2016,,615
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,March,NL,CE,2016,,651
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,April,NL,CE,2016,,607
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,May,NL,CE,2016,,671
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,June,NL,CE,2016,,727
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,July,NL,CE,2016,,702
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,August,NL,CE,2016,,741
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,September,NL,CE,2016,,591
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,October,NL,CE,2016,,591
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,November,NL,CE,2016,,574
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,December,NL,CE,2016,,567
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,January,NL,CE,2017,,509
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,February,NL,CE,2017,-9.430894309%,557
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,March,NL,CE,2017,-23.502304147%,498
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,April,NL,CE,2017,-16.474464580%,507
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,May,NL,CE,2017,-16.989567809%,557
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,June,NL,CE,2017,-20.357634113%,579
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,July,NL,CE,2017,-29.344729345%,496
IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,Cproct,August,NL,CE,2017,-15.519568151%,626
