CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RTN_SCORE,Count of RTN_SCORE
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.730434783,230
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.729729730,111
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.8,60
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.896103896,77
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.703703704,108
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.794871795,156
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.883720930,172
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.926829268,164
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.766233766,154
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.824817518,137
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.743589744,39
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.776595745,94
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.794520548,73
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.789473684,190
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.801980198,101
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,February 2017,NL,CE,4.831325301,166
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,March 2017,NL,CE,4.685393258,178
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,April 2017,NL,CE,4.695906433,171
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,May 2017,NL,CE,4.797979798,198
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,June 2017,NL,CE,4.826923077,208
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,July 2017,NL,CE,4.865546218,238
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,August 2017,NL,CE,4.868312757,243
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,September 2017,NL,CE,4.792452830,212
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.755555556,45
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.681818182,132
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.770491803,122
