DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cpdol,Cpdol
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,-99.475508551%,980.62
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,-36.052664140%,123624.55
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,13.929646635%,181760.51
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,45.550678027%,179547.11
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,-3.163840701%,157136.21
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,33.030631358%,164575.44
IL076 WILKINS HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,48.926390613%,173015.83
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,100907.12
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,117096.36
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,100427.07
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,100711.6
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,115639.32
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,113717.62
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,120883.65
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,100791.98
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,124277.75
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,88951.17
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,97193.65
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,77089.69
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-31.436463552%,69185.49
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,-28.844013597%,83321.07
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,7.594804867%,108054.31
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,18.164918440%,119005.78
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,27.765417507%,147747.06
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,2.448908094%,116502.46
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,24.538719670%,150546.95
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,48.404585365%,149579.92
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,41.931801952%,176389.65
IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,60.938827449%,143156.97
